cod_ibge,uf,ano
1100015,RO,2019
1100015,RO,2020
1100015,RO,2021
1100015,RO,2022
1100015,RO,2023
1100023,RO,2019
1100023,RO,2020
1100023,RO,2021
1100023,RO,2022
1100023,RO,2023
1100031,RO,2019
1100031,RO,2020
1100031,RO,2021
1100031,RO,2022
1100031,RO,2023
1100049,RO,2019
1100049,RO,2020
1100049,RO,2021
1100049,RO,2022
1100049,RO,2023
1100056,RO,2019
1100056,RO,2020
1100056,RO,2021
1100056,RO,2022
1100056,RO,2023
1100064,RO,2019
1100064,RO,2020
1100064,RO,2021
1100064,RO,2022
1100064,RO,2023
1100072,RO,2019
1100072,RO,2020
1100072,RO,2021
1100072,RO,2022
1100072,RO,2023
1100080,RO,2019
1100080,RO,2020
1100080,RO,2021
1100080,RO,2022
1100080,RO,2023
1100098,RO,2019
1100098,RO,2020
1100098,RO,2021
1100098,RO,2022
1100098,RO,2023
1100106,RO,2019
1100106,RO,2020
1100106,RO,2021
1100106,RO,2022
1100106,RO,2023
1100114,RO,2019
1100114,RO,2020
1100114,RO,2021
1100114,RO,2022
1100114,RO,2023
1100122,RO,2019
1100122,RO,2020
1100122,RO,2021
1100122,RO,2022
1100122,RO,2023
1100130,RO,2019
1100130,RO,2020
1100130,RO,2021
1100130,RO,2022
1100130,RO,2023
1100148,RO,2019
1100148,RO,2020
1100148,RO,2021
1100148,RO,2022
1100148,RO,2023
1100155,RO,2019
1100155,RO,2020
1100155,RO,2021
1100155,RO,2022
1100155,RO,2023
1100189,RO,2019
1100189,RO,2020
1100189,RO,2021
1100189,RO,2022
1100189,RO,2023
1100205,RO,2019
1100205,RO,2020
1100205,RO,2021
1100205,RO,2022
1100205,RO,2023
1100254,RO,2019
1100254,RO,2020
1100254,RO,2021
1100254,RO,2022
1100254,RO,2023
1100262,RO,2019
1100262,RO,2020
1100262,RO,2021
1100262,RO,2022
1100262,RO,2023
1100288,RO,2019
1100288,RO,2020
1100288,RO,2021
1100288,RO,2022
1100288,RO,2023
1100296,RO,2019
1100296,RO,2020
1100296,RO,2021
1100296,RO,2022
1100296,RO,2023
1100304,RO,2019
1100304,RO,2020
1100304,RO,2021
1100304,RO,2022
1100304,RO,2023
1100320,RO,2019
1100320,RO,2020
1100320,RO,2021
1100320,RO,2022
1100320,RO,2023
1100338,RO,2019
1100338,RO,2020
1100338,RO,2021
1100338,RO,2022
1100338,RO,2023
1100346,RO,2019
1100346,RO,2020
1100346,RO,2021
1100346,RO,2022
1100346,RO,2023
1100379,RO,2019
1100379,RO,2020
1100379,RO,2021
1100379,RO,2022
1100379,RO,2023
1100403,RO,2019
1100403,RO,2020
1100403,RO,2021
1100403,RO,2022
1100403,RO,2023
1100452,RO,2019
1100452,RO,2020
1100452,RO,2021
1100452,RO,2022
1100452,RO,2023
1100502,RO,2019
1100502,RO,2020
1100502,RO,2021
1100502,RO,2022
1100502,RO,2023
1100601,RO,2019
1100601,RO,2020
1100601,RO,2021
1100601,RO,2022
1100601,RO,2023
1100700,RO,2019
1100700,RO,2020
1100700,RO,2021
1100700,RO,2022
1100700,RO,2023
1100809,RO,2019
1100809,RO,2020
1100809,RO,2021
1100809,RO,2022
1100809,RO,2023
1100908,RO,2019
1100908,RO,2020
1100908,RO,2021
1100908,RO,2022
1100908,RO,2023
1100924,RO,2019
1100924,RO,2020
1100924,RO,2021
1100924,RO,2022
1100924,RO,2023
1100940,RO,2019
1100940,RO,2020
1100940,RO,2021
1100940,RO,2022
1100940,RO,2023
1101005,RO,2019
1101005,RO,2020
1101005,RO,2021
1101005,RO,2022
1101005,RO,2023
1101104,RO,2019
1101104,RO,2020
1101104,RO,2021
1101104,RO,2022
1101104,RO,2023
1101203,RO,2019
1101203,RO,2020
1101203,RO,2021
1101203,RO,2022
1101203,RO,2023
1101302,RO,2019
1101302,RO,2020
1101302,RO,2021
1101302,RO,2022
1101302,RO,2023
1101401,RO,2019
1101401,RO,2020
1101401,RO,2021
1101401,RO,2022
1101401,RO,2023
1101435,RO,2019
1101435,RO,2020
1101435,RO,2021
1101435,RO,2022
1101435,RO,2023
1101468,RO,2019
1101468,RO,2020
1101468,RO,2021
1101468,RO,2022
1101468,RO,2023
1101476,RO,2019
1101476,RO,2020
1101476,RO,2021
1101476,RO,2022
1101476,RO,2023
1101484,RO,2019
1101484,RO,2020
1101484,RO,2021
1101484,RO,2022
1101484,RO,2023
1101492,RO,2019
1101492,RO,2020
1101492,RO,2021
1101492,RO,2022
1101492,RO,2023
1101500,RO,2019
1101500,RO,2020
1101500,RO,2021
1101500,RO,2022
1101500,RO,2023
1101559,RO,2019
1101559,RO,2020
1101559,RO,2021
1101559,RO,2022
1101559,RO,2023
1101609,RO,2019
1101609,RO,2020
1101609,RO,2021
1101609,RO,2022
1101609,RO,2023
1101708,RO,2019
1101708,RO,2020
1101708,RO,2021
1101708,RO,2022
1101708,RO,2023
1101757,RO,2019
1101757,RO,2020
1101757,RO,2021
1101757,RO,2022
1101757,RO,2023
1101807,RO,2019
1101807,RO,2020
1101807,RO,2021
1101807,RO,2022
1101807,RO,2023
1200013,AC,2019
1200013,AC,2020
1200013,AC,2021
1200013,AC,2022
1200013,AC,2023
1200054,AC,2019
1200054,AC,2020
1200054,AC,2021
1200054,AC,2022
1200054,AC,2023
1200104,AC,2019
1200104,AC,2020
1200104,AC,2021
1200104,AC,2022
1200104,AC,2023
1200138,AC,2019
1200138,AC,2020
1200138,AC,2021
1200138,AC,2022
1200138,AC,2023
1200179,AC,2019
1200179,AC,2020
1200179,AC,2021
1200179,AC,2022
1200179,AC,2023
1200203,AC,2019
1200203,AC,2020
1200203,AC,2021
1200203,AC,2022
1200203,AC,2023
1200252,AC,2019
1200252,AC,2020
1200252,AC,2021
1200252,AC,2022
1200252,AC,2023
1200302,AC,2019
1200302,AC,2020
1200302,AC,2021
1200302,AC,2022
1200302,AC,2023
1200328,AC,2019
1200328,AC,2020
1200328,AC,2021
1200328,AC,2022
1200328,AC,2023
1200336,AC,2019
1200336,AC,2020
1200336,AC,2021
1200336,AC,2022
1200336,AC,2023
1200344,AC,2019
1200344,AC,2020
1200344,AC,2021
1200344,AC,2022
1200344,AC,2023
1200351,AC,2019
1200351,AC,2020
1200351,AC,2021
1200351,AC,2022
1200351,AC,2023
1200385,AC,2019
1200385,AC,2020
1200385,AC,2021
1200385,AC,2022
1200385,AC,2023
1200393,AC,2019
1200393,AC,2020
1200393,AC,2021
1200393,AC,2022
1200393,AC,2023
1200401,AC,2019
1200401,AC,2020
1200401,AC,2021
1200401,AC,2022
1200401,AC,2023
1200427,AC,2019
1200427,AC,2020
1200427,AC,2021
1200427,AC,2022
1200427,AC,2023
1200435,AC,2019
1200435,AC,2020
1200435,AC,2021
1200435,AC,2022
1200435,AC,2023
1200450,AC,2019
1200450,AC,2020
1200450,AC,2021
1200450,AC,2022
1200450,AC,2023
1200500,AC,2019
1200500,AC,2020
1200500,AC,2021
1200500,AC,2022
1200500,AC,2023
1200609,AC,2019
1200609,AC,2020
1200609,AC,2021
1200609,AC,2022
1200609,AC,2023
1200708,AC,2019
1200708,AC,2020
1200708,AC,2021
1200708,AC,2022
1200708,AC,2023
1200807,AC,2019
1200807,AC,2020
1200807,AC,2021
1200807,AC,2022
1200807,AC,2023
1300029,AM,2019
1300029,AM,2020
1300029,AM,2021
1300029,AM,2022
1300029,AM,2023
1300060,AM,2019
1300060,AM,2020
1300060,AM,2021
1300060,AM,2022
1300060,AM,2023
1300086,AM,2019
1300086,AM,2020
1300086,AM,2021
1300086,AM,2022
1300086,AM,2023
1300102,AM,2019
1300102,AM,2020
1300102,AM,2021
1300102,AM,2022
1300102,AM,2023
