uf,B_FBCF_Rbi,formula,fonte
RO,0.792106,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
AC,0.09439,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
AM,7.171046,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
RR,0.025281,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
PA,7.906254,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
AP,0.064054,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
TO,0.753772,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
MA,1.699177,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
PI,0.503745,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
CE,3.331833,"B_FBCF_NC,uf (FBCF nao corporativa por UF, m=1,00)","convencao v1 vendorada (METODOLOGIA v1 par.3.2: PIA-VTI/SIDRA 1849 x TRU 2021, art. 200 par.4 LC 214/2025); destination_base.csv v3.6, escala 1,406037"
