produto,aliquota_rs,unidade,vigencia_inicio,vigencia_fim,convenio,fonte_url,nota
GASOLINA_EAC,1.2200,R$/L,2023-06-01,2024-01-31,"Conv. ICMS 15/2023, cláusula sétima (redação original, efeitos até 31.01.24; monofasia da gasolina A e EAC produz efeitos a partir de 01.06.23, cláusula trigésima quinta)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2023/CV015_23,"texto: ""em R$ 1,2200 por litro, para a gasolina e etanol anidro combustível"""
GASOLINA_EAC,1.3721,R$/L,2024-02-01,2025-01-31,"Conv. ICMS 173/2023, cláusula primeira (nova redação à cláusula sétima do Conv. ICMS 15/2023), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2023/CV173_23,"texto: ""em R$ 1,3721 por litro, para a gasolina e etanol anidro combustível"""
GASOLINA_EAC,1.4700,R$/L,2025-02-01,2025-12-31,"Conv. ICMS 127/2024, cláusula primeira, efeitos a partir de 1º de fevereiro de 2025 (cláusula segunda); superado pelo Conv. ICMS 112/2025 (R$ 1,57) a partir de 01.01.26 — fora da janela",https://www.confaz.fazenda.gov.br/legislacao/convenios/2024/CV127_24,"texto: ""em R$ 1,47 por litro, para a gasolina e etanol anidro combustível"""
DIESEL_B100,0.9456,R$/L,2023-05-01,2024-01-31,"Conv. ICMS 199/2022, cláusula sétima, I (redação original, efeitos até 31.01.24; monofasia produz efeitos a partir de 01.05.23, cláusula trigésima quarta red. Conv. ICMS 12/23)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2022/CV199_22,"texto: ""I – para o diesel e biodiesel, em R$ 0,9456"""
DIESEL_B100,1.0635,R$/L,2024-02-01,2025-01-31,"Conv. ICMS 172/2023, cláusula primeira (nova redação aos incisos I e II da cláusula sétima do Conv. ICMS 199/2022), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2023/CV172_23,"texto: ""I – para o diesel e biodiesel, em R$ 1,0635"""
DIESEL_B100,1.1200,R$/L,2025-02-01,2025-12-31,"Conv. ICMS 126/2024, cláusula primeira, efeitos a partir de 1º de fevereiro de 2025 (cláusula segunda); superado pelo Conv. ICMS 113/2025 (R$ 1,17) a partir de 01.01.26 — fora da janela",https://www.confaz.fazenda.gov.br/legislacao/convenios/2024/CV126_24,"texto: ""I – para o diesel e biodiesel, em R$ 1,12"""
GLP_GLGN,1.2571,R$/kg,2023-05-01,2024-01-31,"Conv. ICMS 199/2022, cláusula sétima, II (redação original, efeitos até 31.01.24; monofasia produz efeitos a partir de 01.05.23, cláusula trigésima quarta red. Conv. ICMS 12/23)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2022/CV199_22,"texto: ""II – para o GLP/GLGN, inclusive o derivado do gás natural, em R$ 1,2571""; alíquota fixada em quilograma (cláusula sétima, parágrafo único)"
GLP_GLGN,1.4139,R$/kg,2024-02-01,2025-01-31,"Conv. ICMS 172/2023, cláusula primeira, efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2023/CV172_23,"texto: ""II – para o GLP/GLGN, inclusive o derivado do gás natural, em R$ 1,4139"""
GLP_GLGN,1.3900,R$/kg,2025-02-01,2025-12-31,"Conv. ICMS 126/2024, cláusula primeira, efeitos a partir de 1º de fevereiro de 2025 (cláusula segunda); superado pelo Conv. ICMS 113/2025 (R$ 1,47) a partir de 01.01.26 — fora da janela",https://www.confaz.fazenda.gov.br/legislacao/convenios/2024/CV126_24,"texto: ""II – para o GLP/GLGN, inclusive o derivado do gás natural, em R$ 1,39"""
ETANOL_HIDRATADO,,,,,"NOTA DE PERÍMETRO — o etanol HIDRATADO está fora do regime monofásico ad rem: o Conv. ICMS 15/2023 alcança apenas gasolina e etanol ANIDRO (EAC contido na gasolina C) e o Conv. ICMS 199/2022 alcança diesel/B100 e GLP/GLGN; o hidratado permanece no campo ad valorem — logo permanece na base POF e no numerador do ICMS (nenhuma dedução ad rem é aplicada a ele)",https://www.confaz.fazenda.gov.br/legislacao/convenios/2023/CV015_23,"linha não consumida pelo cálculo (aliquota_rs vazia); declarada por exigência de perímetro (item A2)"
