uf,tau_E_uf_pp,tau_M_uf_pp,hiato_E_pp,hiato_M_pp,soma_indicativa_pp,piso_2033_E_pp,piso_2033_M_pp,piso_vinculante_E,piso_vinculante_M,tau_E_exequivel_pp,tau_M_exequivel_pp
AC,15.20140404787021,0.8574156976722356,-0.9495819263622636,-1.993664182126306,29.589625349969022,14.616642306680388,2.58022729121768,False,True,15.20140404787021,2.58022729121768
AL,24.626149247656805,1.7186213026574089,8.475163273424332,-1.1324585771411326,39.8755761547408,14.616642306680388,2.58022729121768,False,True,24.626149247656805,2.58022729121768
AM,39.440584283671974,3.32650148106937,23.2895983094395,0.47542160127082855,56.29789136916793,14.616642306680388,2.58022729121768,False,False,39.440584283671974,3.32650148106937
AP,10.040684003522887,0.7927666759015057,-6.110301970709585,-2.0583132038970358,24.36425628385097,14.616642306680388,2.58022729121768,True,True,14.616642306680388,2.58022729121768
BA,14.674279036719534,1.4841443820764075,-1.4767069375129385,-1.366935497722134,29.689229023222524,14.616642306680388,2.58022729121768,False,True,14.674279036719534,2.58022729121768
CE,16.89638777254473,1.630716119665502,0.7454017983122583,-1.2203637601330395,32.05790949663681,14.616642306680388,2.58022729121768,False,True,16.89638777254473,2.58022729121768
DF,8.423666429698033,3.344083951529326,-7.72731954453444,0.4930040717307844,25.29855598565394,14.616642306680388,2.58022729121768,True,False,14.616642306680388,3.344083951529326
ES,24.62336897340423,3.0390129565562094,8.472382999171757,0.1879330767576679,41.193187534387015,14.616642306680388,2.58022729121768,False,False,24.62336897340423,3.0390129565562094
GO,15.842853486618564,1.5478166792733374,-0.3081324876139089,-1.303263200525204,30.921475770318484,14.616642306680388,2.58022729121768,False,True,15.842853486618564,2.58022729121768
MA,16.284836333540902,1.218513781961842,0.13385035930842903,-1.6325660978366996,31.034155719929327,14.616642306680388,2.58022729121768,False,True,16.284836333540902,2.58022729121768
MG,15.393033663166936,1.8140484851096996,-0.7579523110655373,-1.0370313946888419,30.737887752703216,14.616642306680388,2.58022729121768,False,True,15.393033663166936,2.58022729121768
MS,23.638271289368483,2.0856207296011218,7.48728531513601,-0.7654591501974197,39.25469762339619,14.616642306680388,2.58022729121768,False,True,23.638271289368483,2.58022729121768
MT,25.555548319782083,2.3996255582215933,9.40456234554961,-0.4514543215769482,41.48597948243026,14.616642306680388,2.58022729121768,False,True,25.555548319782083,2.58022729121768
PA,19.336438712678532,1.711903733048898,3.1854527384460596,-1.1391761467496435,34.57914805015401,14.616642306680388,2.58022729121768,False,True,19.336438712678532,2.58022729121768
PB,18.062092063876037,1.009676683154652,1.9111060896435639,-1.8414031966438895,32.60257435145727,14.616642306680388,2.58022729121768,False,True,18.062092063876037,2.58022729121768
PE,17.016058922490405,1.5106485279390984,0.8650729482579322,-1.340431351859443,32.05751305485608,14.616642306680388,2.58022729121768,False,True,17.016058922490405,2.58022729121768
PI,17.67511566935804,1.2281107552751165,1.5241296951255663,-1.622969124523425,32.434032029059736,14.616642306680388,2.58022729121768,False,True,17.67511566935804,2.58022729121768
PR,12.950006651507303,1.939271407563831,-3.2009793227251695,-0.9118084722347104,28.420083663497714,14.616642306680388,2.58022729121768,True,True,14.616642306680388,2.58022729121768
RJ,16.18479039968231,3.9558066781440986,0.03380442544983708,1.104726798345557,33.67140268225299,14.616642306680388,2.58022729121768,False,False,16.18479039968231,3.9558066781440986
RN,12.75370133172234,1.3929734306473514,-3.397284642510133,-1.4581064491511901,27.677480366796274,14.616642306680388,2.58022729121768,True,True,14.616642306680388,2.58022729121768
RO,24.018433041041543,1.4178941967594705,7.867447066809071,-1.433185683039071,38.96713284222759,14.616642306680388,2.58022729121768,False,True,24.018433041041543,2.58022729121768
RR,26.73623438534992,2.45980919856442,10.585248411117448,-0.39127068123412156,42.72684918834092,14.616642306680388,2.58022729121768,False,True,26.73623438534992,2.58022729121768
RS,14.352588729389854,1.4557957966109747,-1.7983972448426186,-1.3952840831875668,29.339190130427408,14.616642306680388,2.58022729121768,True,True,14.616642306680388,2.58022729121768
SC,20.28452842789361,2.4065909743882803,4.133542453661136,-0.4444889054102612,36.22192500670847,14.616642306680388,2.58022729121768,False,True,20.28452842789361,2.58022729121768
SE,11.151448507298998,1.2901715939102392,-4.999537466933475,-1.5609082858883023,25.972425705635814,14.616642306680388,2.58022729121768,True,True,14.616642306680388,2.58022729121768
SP,15.23768759257784,4.593667995488084,-0.9132983816546325,1.7425881156895424,33.36216119249251,14.616642306680388,2.58022729121768,False,False,15.23768759257784,4.593667995488084
TO,24.69702522377151,2.723266246859753,8.546039249539039,-0.12781363293878867,40.951097075057845,14.616642306680388,2.58022729121768,False,False,24.69702522377151,2.723266246859753
