gamma,cenario_gamma,psi,modo_redutor,is_cenario,ancora_federal,tau_CBS_pp,tau_E_pp,tau_M_pp,soma_pp,sigma_pp,formula,fonte
0.0,hiato_zero,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,11.83945490387326,14.132112727453414,2.494694894823724,28.4662625261504,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.1,factivel,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,13.15494989319251,15.702347474948242,2.7718832164708047,31.62918058461156,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,13.53080560442658,16.150985974232473,2.8510798797985415,32.5328714584576,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,0.0,sem_redutor,proxy_ipi_rfb,liquida_rtn,12.99583009385215,15.149985870621109,0.8545992182092562,29.000415182682517,29.000415182682517,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,0.0,redutor_total,proxy_ipi_rfb,liquida_rtn,13.74292100694288,16.54787804816759,3.6426755524570984,33.93347460756757,0.0,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,0.3,iso_carga,proxy_ipi_rfb,liquida_rtn,12.97474510013508,15.487246824606483,2.7339122135054517,31.195904138247016,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,0.3,sem_redutor,proxy_ipi_rfb,liquida_rtn,12.487066816569104,14.574745218964036,0.9139405643899884,27.975752599923126,27.975752599923126,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,0.3,redutor_total,proxy_ipi_rfb,liquida_rtn,13.178143431315092,15.867828265366184,3.4929765571506435,32.538948253831926,0.0,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,1.0,iso_carga,proxy_ipi_rfb,liquida_rtn,11.83945490387326,14.132112727453414,2.494694894823724,28.4662625261504,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,1.0,sem_redutor,proxy_ipi_rfb,liquida_rtn,11.442477908374364,13.389323560900648,1.0132123242321245,25.84501379350714,25.84501379350714,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,central,1.0,redutor_total,proxy_ipi_rfb,liquida_rtn,12.02505588107502,14.47939329214664,3.187341108399961,29.691790281621618,0.0,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.15,conservador,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,13.928770475145008,16.6260149734746,2.934935170380851,33.489720619000465,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.2,estresse,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,14.799318629841574,17.665140909316765,3.1183686185296544,35.582828157688,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,sens_is_zero,0.0,iso_carga,zero,liquida_rtn,13.972937191800236,16.150985974232473,2.8510798797985415,32.975003045831244,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,sens_ancora_bruta,0.0,iso_carga,proxy_ipi_rfb,bruta_rfb,13.492750145216736,16.150985974232473,2.8510798797985415,32.49481599924775,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py),AFERIR — ver MANIFEST_RUN.json
0.125,sens_g_min,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,13.59003877357383,16.251136197385808,2.929515209997084,32.77069018095673,8.23385030098401,sistema arts. 350-369 + 472-473 (rates.py); A5: G no perímetro mínimo (3.3.90.30+39) com σ correspondente,AFERIR — ver MANIFEST_RUN.json
0.125,sens_g_max,0.0,iso_carga,proxy_ipi_rfb,liquida_rtn,13.50027575866664,16.039923996046415,2.706398766073164,32.24659852078622,7.675538192951651,"sistema arts. 350-369 + 472-473 (rates.py); A5: G no perímetro máximo (custeio ampliado + 4.4.90.51/52), σ recalibrado p/ capital",AFERIR — ver MANIFEST_RUN.json
