uf,tau_E_uf_pp,tau_M_uf_pp
AC,15.20140404787021,0.8574156976722356
AL,24.626149247656805,1.7186213026574089
AM,39.440584283671974,3.32650148106937
AP,10.040684003522887,0.7927666759015057
BA,14.674279036719534,1.4841443820764075
CE,16.89638777254473,1.630716119665502
DF,8.423666429698033,3.344083951529326
ES,24.62336897340423,3.0390129565562094
GO,15.842853486618564,1.5478166792733374
MA,16.284836333540902,1.2185137819618421
MG,15.393033663166936,1.8140484851096996
MS,23.638271289368483,2.0856207296011218
MT,25.555548319782083,2.3996255582215933
PA,19.336438712678532,1.711903733048898
PB,18.062092063876037,1.009676683154652
PE,17.016058922490405,1.5106485279390984
PI,17.67511566935804,1.2281107552751163
PR,12.950006651507303,1.939271407563831
RJ,16.18479039968231,3.9558066781440986
RN,12.75370133172234,1.3929734306473514
RO,24.018433041041543,1.4178941967594703
RR,26.73623438534992,2.45980919856442
RS,14.352588729389854,1.4557957966109747
SC,20.28452842789361,2.4065909743882803
SE,11.151448507298998,1.2901715939102392
SP,15.237687592577839,4.593667995488084
TO,24.69702522377151,2.723266246859753
