componente,parcela_residencial_rs_bi,redutor_aplicado,m_efetivo,delta_base_rs_bi,efeito_pp_aprox,formula,fonte
fbcf_nc_2021,181.09199402291688,nenhum,1.0,0.0,,"FBCF_TRU2021 (1614.782) × share_fbcf_nc (0.112146 = Σ B_FBCF_v1 ÷ (FBCF_TRU × 1,406037), convenção v1 VTI/PIA)",TRU 2021 tab2 + data/inputs/fbcf_v1_uf.csv
parcela_residencial_nova_2021,26.657394391668944,nenhum (identificação),1.0,0.0,,fbcf_nc_2021 × share Edificações na FBCF TRU (0.230437 = 41801 ÷ FBCF total) × share residencial PAIC (0.638801: Σ(4120.2040 + 4120.9020) ÷ Σ(obras novas de edifícios: 4120.2010/2020/2030/2040/2050 + 4120.9010/9020) — reformas (4120.9030/9040) e incorporação (4110) excluídas). Convenções declaradas: composição da FBCF TOTAL como proxy do mix não-corporativo e PAIC 30+ PO sem informalidade — ambas COTAS INFERIORES da parcela residencial,"TRU 2021 (composição por produto) + PAIC 2021, SIDRA agregado 1740, var. 1246, classif. 358 (https://servicodados.ibge.gov.br/api/v3/agregados/1740/periodos/2021/variaveis/1246?localidades=N1[all]&classificacao=358[all])"
reducao_aliquota_art261,26.657394391668944,"alíquotas reduzidas em 50% (operações com bens imóveis, incl. alienação — art. 252, I — e serviços de construção civil — art. 252, V)",0.5,13.328697195834472,0.11820954060982602,delta = parcela_residencial × (1 − 0.50); efeito_pp = Δτ_U+Δτ_E+Δτ_M de 1ª ordem (linhas efeito_pp_*); ALAVANCA fbcf_imob='redutores' de base.py aplica ESTE delta,"LC 214/2025, texto compilado Planalto (lcp214.htm), art. 261, caput"
efeito_pp_uniao,,"art. 261, caput",0.5,,0.04934016079159065,"Δτ_CBS = τ_central (redutores, alavanca de base.py) − τ(sens_fbcf_sem_redutores) — efeito ENDÓGENO da grade (encolhimento de B_FBCF_NC: 7.9449%)",aferir_nacional.csv (central × sens_fbcf_sem_redutores)
efeito_pp_estadual,,"art. 261, caput",0.5,,0.05853618212055878,"Δτ_estadual = τ_central (redutores, alavanca de base.py) − τ(sens_fbcf_sem_redutores) — efeito ENDÓGENO da grade (encolhimento de B_FBCF_NC: 7.9449%)",aferir_nacional.csv (central × sens_fbcf_sem_redutores)
efeito_pp_municipal,,"art. 261, caput",0.5,,0.0103331976976766,"Δτ_municipal = τ_central (redutores, alavanca de base.py) − τ(sens_fbcf_sem_redutores) — efeito ENDÓGENO da grade (encolhimento de B_FBCF_NC: 7.9449%)",aferir_nacional.csv (central × sens_fbcf_sem_redutores)
redutor_social_art259_imovel_novo,,dedução de R$ 100.000 da base por imóvel residencial novo (até o limite da base. após o redutor de ajuste),,,,"FRONTEIRA: quantificação exige contagem/valor médio de unidades novas alienadas — inexiste em dado aberto oficial (PAIC não conta unidades; BCB cobre só imóveis financiados, sem separar novos). Cota: redução adicional = min(100000/valor_unidade, 1) sobre a fatia alienada; no limite legal, delta adicional ∈ [0; 13.33] R$ bi 2021 — sinal DECLARADO: efeito adicional para CIMA nas alíquotas","LC 214/2025, texto compilado Planalto (lcp214.htm), art. 259, caput"
redutor_social_art259_lote,,dedução de R$ 30.000 da base por lote residencial,,,,mesma fronteira da linha anterior (contagem de lotes),"LC 214/2025, texto compilado Planalto (lcp214.htm), art. 259, caput"
redutor_ajuste_arts257_258,,redutor de ajuste (valor do terreno/aquisição) deduzido da base de alienação por contribuinte regular,1.0,0.0,0.0,"delta 0 DECLARADO: a FBCF da TRU mede o valor da CONSTRUÇÃO (o terreno não é produção) — a base usada já aproxima a base legal líquida do redutor de ajuste; convergência declarada, não calculada","LC 214/2025, arts. 257-258, texto compilado Planalto (lcp214.htm)"
uso_proprio_autoconstrucao,,"serviços de construção civil com alíquota reduzida em 50% (arts. 252, V, c/c 261); materiais adquiridos diretamente ao PADRÃO (m=1)",,,,"viés DECLARADO da alavanca: aplicar m=0,50 a toda a parcela residencial superestima a redução na fatia autoconstruída (materiais ao padrão); sem split aberto serviços×materiais da autoconstrução — fronteira declarada","LC 214/2025, arts. 252, V, e 261, texto compilado Planalto"
