uf,f_low_decis3,f_low_legal,delta_f_low,share_familias_elegiveis,share_pessoas_elegiveis,share_piso_decis3,share_piso_legal,formula,fonte
AC,0.2506727930008108,0.15064823258789245,-0.10002456041291835,0.270321454622806,0.3644806486337662,0.07749407120707111,0.07247544890307364,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
AL,0.2979812159782101,0.1943024503383457,-0.10367876563986439,0.35650890166065574,0.45329466815702624,0.10708206027176373,0.10971727980212236,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
AM,0.28352825516974567,0.17858051591876967,-0.104947739250976,0.31773860733694703,0.4188888909364929,0.11156468275050417,0.108120728867773,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
AP,0.2445682724875584,0.13440444300190235,-0.11016382948565606,0.23613621786677044,0.3201897761126282,0.0744832849473054,0.07127741633038849,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
BA,0.17993516131472623,0.09765373384266367,-0.08228142747206256,0.22290993831043251,0.295921639875452,0.08176965589439417,0.08188170739348011,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
CE,0.23112141974723344,0.13756369641349966,-0.09355772333373377,0.2791523085535673,0.3510619942146756,0.09437166394345897,0.09586755406116886,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
DF,0.03371284563757704,0.01682657136698037,-0.016886274270596666,0.06591294390314485,0.08484736517669551,0.12737798056926247,0.13057890727047403,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
ES,0.09011072246309594,0.04730380213192728,-0.04280692033116866,0.11149930173097472,0.15752405304298472,0.14472074720765365,0.15037763039162377,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
GO,0.07325645998054783,0.034092598919373475,-0.03916386106117436,0.07838666196058733,0.11507264195202269,0.13715553701893346,0.12795658928571296,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
MA,0.3502272114783072,0.21471025935409274,-0.13551695212421447,0.3387614517091029,0.4292293411803999,0.08736903408707475,0.08736179478879777,decis3 = decis populacionais nacionais 1-3 (proxy atual); legal = rpc ≤ ½ SM 15/01/2018; f_low sobre despesa ex-cód. 101; share_piso = Σ despesa itens art. 118 (regex espelho de pipeline.PADRAO_PISO) ÷ Σ despesa em campo ex-combustíveis do PRÓPRIO público,"IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito); matriz data/inputs/matriz_pof_ibs_v5.csv"
