uf,ano,receita_adrem_estimada,share_do_icms,vol_gasolina_c_m3,vol_oleo_diesel_m3,vol_glp_m3,formula,fonte
AC,2024,413614733.1033298,0.191491128879872,152374.296,166595.701,39713.177535,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AC,2025,384064492.1843904,0.17297810280254514,152112.3,116807.447,40713.682971,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AL,2024,1321207298.404913,0.15564027339131603,525041.502,435444.158,192958.25,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AL,2025,1449218073.8819163,0.16087935015965515,554694.641,438452.48199999996,194923.05796,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AM,2024,2080592496.4270031,0.13253439295576652,620256.712,1033937.017,186031.68116,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AM,2025,2292207273.877441,0.135440415227764,652487.048,1069335.188,188591.27354,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AP,2024,405477522.02139527,0.267216800495133,199580.943,102293.32,33800.248187000005,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
AP,2025,440466127.26751685,0.25865227958081705,200863.609,107533.632,34826.172102,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
BA,2024,7799749644.857393,0.19747691382550114,2413251.821,3665402.608,847997.8242800001,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
BA,2025,8615657436.533813,0.20513973828771334,2524562.0,3822753.255,859673.72101,"receita_adrem = Σ_mes [vol_mensal_gasolina_c·1000·aliq_gas(mes) + vol_mensal_diesel·1000·aliq_diesel(mes) + vol_mensal_glp·552·aliq_glp(mes)] (alíquota vigente no mês, R$ correntes do ano; detalhe em deducao_icms_adrem_uf_mes.csv); share_do_icms = receita_adrem ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv | GLP m³→kg: ANP, Anuário Estatístico 2023, Fatores de conversão/densidades (GLP 0,552 t/m³ a 20 °C e 1 atm; fonte EPE/BEN), https://www.gov.br/anp/pt-br/centrais-de-conteudo/publicacoes/anuario-estatistico/arquivos-anuario-estatistico-2023/outras-pecas-documentais/fatores-conversao.pdf; cache data/raw/normas/anp_metadados/anuario-2023-fatores-conversao.pdf | ICMS: r_estadual.csv"
