uf,ano,mes,produto,volume_anp_m3,volume,unidade,aliquota,deducao_rs,convenio,formula,fonte
AC,2024,1,DIESEL_B100,12273.4,12273400.0,L,0.9456,11605727.04,"Conv. ICMS 199/2022, cláusula sétima, I (redação original, efeitos até 31.01.24; monofasia produz efeitos a partir de 01.05.23, cláusula trigésima quarta red. Conv. ICMS 12/23)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-01 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,1,GASOLINA_EAC,12476.45,12476450.0,L,1.22,15221269.0,"Conv. ICMS 15/2023, cláusula sétima (redação original, efeitos até 31.01.24; monofasia da gasolina A e EAC produz efeitos a partir de 01.06.23, cláusula trigésima quinta)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-01 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,1,GLP_GLGN,3268.719203,1804333.000056,kg,1.2571,2268227.0143703977,"Conv. ICMS 199/2022, cláusula sétima, II (redação original, efeitos até 31.01.24; monofasia produz efeitos a partir de 01.05.23, cláusula trigésima quarta red. Conv. ICMS 12/23)","deducao_rs = volume_anp_m3 ×552 kg/m³ (ANP 0,552 t/m³) × aliquota vigente em 2024-01 (kg; R$ correntes)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,2,DIESEL_B100,10778.0,10778000.0,L,1.0635,11462402.999999998,"Conv. ICMS 172/2023, cláusula primeira (nova redação aos incisos I e II da cláusula sétima do Conv. ICMS 199/2022), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-02 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,2,GASOLINA_EAC,10926.5,10926500.0,L,1.3721,14992250.65,"Conv. ICMS 173/2023, cláusula primeira (nova redação à cláusula sétima do Conv. ICMS 15/2023), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-02 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,2,GLP_GLGN,2955.077899,1631203.000248,kg,1.4139,2306357.922050647,"Conv. ICMS 172/2023, cláusula primeira, efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)","deducao_rs = volume_anp_m3 ×552 kg/m³ (ANP 0,552 t/m³) × aliquota vigente em 2024-02 (kg; R$ correntes)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,3,DIESEL_B100,12504.0,12504000.0,L,1.0635,13298003.999999998,"Conv. ICMS 172/2023, cláusula primeira (nova redação aos incisos I e II da cláusula sétima do Conv. ICMS 199/2022), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-03 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,3,GASOLINA_EAC,12501.0,12501000.0,L,1.3721,17152622.1,"Conv. ICMS 173/2023, cláusula primeira (nova redação à cláusula sétima do Conv. ICMS 15/2023), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-03 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,3,GLP_GLGN,3282.096014,1811716.999728,kg,1.4139,2561586.6659154193,"Conv. ICMS 172/2023, cláusula primeira, efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)","deducao_rs = volume_anp_m3 ×552 kg/m³ (ANP 0,552 t/m³) × aliquota vigente em 2024-03 (kg; R$ correntes)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
AC,2024,4,DIESEL_B100,16355.538,16355538.0,L,1.0635,17394114.663,"Conv. ICMS 172/2023, cláusula primeira (nova redação aos incisos I e II da cláusula sétima do Conv. ICMS 199/2022), efeitos a partir de 1º de fevereiro de 2024 (cláusula segunda)",deducao_rs = volume_anp_m3 ×1000 L/m³ × aliquota vigente em 2024-04 (L; R$ correntes),"ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | Alíquotas ad rem ICMS monofásico (LC 192/2022): Conv. ICMS 199/2022, 15/2023, 172/2023, 173/2023, 126/2024, 127/2024 (textos em data/raw/normas/confaz/); tabela de vigências data/inputs/icms_adrem_vigencias.csv"
