uf,ano,receita_etanol_estimada,share_do_icms,vol_etanol_hidratado_m3,formula,fonte
AC,2024,19054702.4687,0.008821751727325189,20458.743,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AC,2025,23572684.3468,0.010616858103912065,23310.346,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AL,2024,78175141.5186,0.009209153183644327,84258.935,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AL,2025,76253746.78109999,0.008465015342047027,73049.009,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AM,2024,206842498.608,0.013175931873993983,224463.348,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AM,2025,218695337.64600003,0.012922124310793901,201389.808,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AP,2024,3110978.1384,0.002050189170559469,3516.542,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
AP,2025,2098906.2,0.0012325280870612515,2143.0,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
BA,2024,378315326.465746,0.009578325782879456,670699.409,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
BA,2025,396002951.10115796,0.00942887322859205,656377.301,"receita_etanol = Σ_mes [vol_mensal_EHC·1000·preço_revenda_ANP-SLP(uf, mes)·carga_advalorem(uf, mes)] (vigência por ato estadual; detalhe em deducao_icms_etanol_uf_mes.csv); share_do_icms = receita_etanol ÷ icms_bruto (rubrica RREO, inclui FECP)","ANP, Vendas de derivados de petróleo e biocombustíveis por UF (m³, mensal), https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis; cache local data/raw/anp/vendas-combustiveis-m3-1990-2025.csv | ANP-SLP, Série Histórica do Levantamento de Preços — Mensal — Estados (preço médio de revenda, R$/l), https://www.gov.br/anp/pt-br/assuntos/precos-e-defesa-da-concorrencia/precos/precos-revenda-e-de-distribuicao-combustiveis/serie-historica-do-levantamento-de-precos; cache local data/raw/anp_precos/mensal-estados-desde-jan2013.xlsx | Carga ad valorem do ICMS sobre o EHC por UF (alíquota específica, base reduzida ou modal — ato normativo citado linha a linha): tabela de vigências data/inputs/icms_etanol_hidratado_vigencias.csv | ICMS: r_estadual.csv"
