uf,ano,icms_liq,fecp_liq,iss_mun,iss_mun_origem,formula,fonte
AC,2019,1413047877.27,0.0,107008992.60120547,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AC,2020,1374411190.82,0.0,132479423.6604896,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AC,2021,1699401407.4,0.0,121166520.66000003,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AC,2022,1791035053.8,0.0,156529199.02657652,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AC,2023,1912132558.42,0.0,176484565.66000006,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AC,2024,2159968117.18,0.0,219385579.2200001,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AC,2025,2220306998.18,0.0,229350157.41999996,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2019,4218412106.65,305606763.22999996,496534718.7584486,retropolado_indice_nacional,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2020,4368478374.88,326496747.39,488659380.62871706,retropolado_indice_nacional,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2021,5401890440.75,412638155.21999997,589704277.3196614,retropolado_indice_nacional,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2022,5805955726.2,472900603.78,732731770.1723096,retropolado_indice_nacional,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2023,6800947222.22,538040087.0100001,831747664.2367878,retropolado_indice_nacional,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2024,7895691213.31,593161123.02,933331168.2199998,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AL,2025,8373444421.42,634660549.44,1014312943.39,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2019,10074255068.13,0.0,832744975.7352588,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2020,10841227593.64,0.0,879087661.8800001,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2021,13052900720.35,0.0,1016598527.654476,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2022,13947389920.64,47714593.23,1254054200.7382123,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2023,14205371747.9,40842322.84,1404400769.2800002,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2024,15620769413.34,77740611.31,1677614601.4700005,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AM,2025,16862016896.189999,62084156.09,1907628704.2899995,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AP,2019,945433657.44,0.0,103494314.12317975,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AP,2020,1014886217.9200001,0.0,124119436.74684104,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AP,2021,1280215544.78,0.0,118931557.76118688,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AP,2022,1353113642.46,0.0,187126768.60999882,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
AP,2023,1372246908.3700001,0.0,175440229.03783607,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
