uf,pi_p_central,pi_p_envelope_aliquotas_min,pi_p_envelope_aliquotas_max,delta_aliquotas_min_pp,delta_aliquotas_max_pp,formula,fonte
AC,0.24671040669028288,0.24285374494578527,0.25697683721095504,-0.38566617444976137,1.0266430520672165,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
AL,0.3040001475218306,0.2979323471970048,0.3189548616070399,-0.606780032482579,1.495471408520932,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
AM,0.2938631706115624,0.28835180351703965,0.3055911743508312,-0.5511367094522768,1.17280037392688,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
AP,0.29007367957039465,0.285376564737865,0.3027336290943177,-0.46971148325296586,1.2659949523923075,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
BA,0.29284945918758676,0.287449727347618,0.31014526324173924,-0.539973183996878,1.7295804054152486,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
CE,0.31377989782645976,0.30741602840934545,0.32649281175275047,-0.636386941711431,1.2712913926290703,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
DF,0.21877123509962984,0.2133625953486265,0.24784352226714115,-0.5408639751003336,2.9072287167511313,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
ES,0.2345140415809283,0.22817448962297626,0.25430491109914244,-0.633955195795205,1.9790869518214127,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
GO,0.2385684188739276,0.23300928487316114,0.25866404574017393,-0.5559134000766464,2.009562686624633,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
MA,0.28608290946450227,0.28217727170837964,0.29735975669147263,-0.39056377561226263,1.1276847226970366,"π^p = Σ w(1−m)/Σ w em campo ex-combustíveis; envelopes: itens divergentes com min/max(m1,m2); F×não-F pela regra do limiar (1−m_campo ≷ π^p central nacional = 0.250468); rótulo pelo RESULTADO (menor π^p = alíquotas mínimas)","data/inputs/dupla_codificacao_2026_07.csv (vendorado do v1; amostra estratificada m×flag de 470 itens, mínimo 12/estrato, seed 42; avaliador 2 = LLM cego ao gabarito, 2026-07-06) + data/inputs/dupla_codificacao_dirigida_2026_07.csv (R6: 46 itens do top-50% da despesa da base de π^p ausentes da amostra original, recodificados às cegas pelo mesmo protocolo, 2026-07-13) × data/inputs/matriz_pof_ibs_v5.csv"
