uf,sigla,taxa_media_pct,n_trimestres,formula,fonte
12,AC,46.025,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
27,AL,45.7,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
13,AM,52.525,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
16,AP,44.6125,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
29,BA,51.55,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
23,CE,52.55,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
53,DF,28.825,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
32,ES,38.35,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
52,GO,35.425,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
21,MA,56.7,8,média simples dos 8 trimestres 2024T1-2025T4 da taxa de informalidade (v/12466); uf = código IBGE (D1C),"IBGE SIDRA t/8529 (PNAD Contínua trimestral) v/12466 taxa de informalidade 14+ ocupados (%), n3 (27 UFs), 2024T1-2025T4; https://apisidra.ibge.gov.br/values/t/8529/n3/all/v/12466/p/202401-202504?formato=json; coletado em 2026-07-12T19:34:16.162010+00:00; sha256 a6de4af3aa45e8788cc5563f6700eac506e873e210ec7c4d67a1f22067ef9a82; cache data/raw/sidra_informalidade/informalidade_8529_2024_2025.json"
