ano,pib_rs_mi,fonte
2012,4814760.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2013,5331619.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2014,5778953.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2015,5995787.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2016,6269327.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2017,6585479.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2018,7004141.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2019,7389131.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2020,7609597.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2021,9012142.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2022,10079676.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2023,10943344.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2024,11779251.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2025,12738566.000000,"IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
