uf,f_low_legal,share_familias_elegiveis,share_pessoas_elegiveis,formula,fonte
AC,0.15064823258789245,0.270321454622806,0.3644806486337662,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
AL,0.1943024503383457,0.35650890166065574,0.45329466815702624,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
AM,0.17858051591876967,0.31773860733694703,0.4188888909364929,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
AP,0.13440444300190235,0.23613621786677044,0.3201897761126282,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
BA,0.09765373384266367,0.22290993831043251,0.295921639875452,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
CE,0.13756369641349966,0.2791523085535673,0.3510619942146756,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
DF,0.01682657136698037,0.06591294390314485,0.08484736517669551,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
ES,0.04730380213192728,0.11149930173097472,0.15752405304298472,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
GO,0.034092598919373475,0.07838666196058733,0.11507264195202269,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
MA,0.21471025935409274,0.3387614517091029,0.4292293411803999,"elegível ⇔ RENDA_TOTAL/moradores ≤ R$ 477,00 (½×954,00); f_low_legal = Σ despesa (ex-cód. 101) dos elegíveis ÷ Σ despesa da UF — MESMA definição de despesa do f_low decis 1-3; shares c/ peso PESO_FINAL (famílias) e PESO_FINAL×moradores (pessoas)","IBGE POF 2017-2018 (MORADOR: RENDA_TOTAL mensal, deflação e pesos na data de referência 15/01/2018 — Dicionário de Variáveis, aba Morador); SM R$ 954,00 = Decreto nº 9.255/2017, art. 1º; LC 214, arts. 112-113 (renda familiar per capita de até ½ SM; take-up 100% implícito)"
