uf,familias,formula,fonte
AC,234988.3389625,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
AL,1029266.81901782,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
AM,1017855.08508271,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
AP,210124.49310929,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
BA,4901099.56443144,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
CE,2832636.1339411,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
DF,976055.72147401,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
ES,1388001.64736464,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
GO,2350478.40367547,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
MA,1974466.50192982,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
MG,7149295.05479444,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
MS,909061.86068442,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
MT,1118787.13340859,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PA,2358789.77415422,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PB,1265384.70111044,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PE,3021057.09299184,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PI,1017663.29424671,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
PR,3961207.71884306,"Σ PESO_FINAL por UC única (COD_UPA,NUM_DOM,NUM_UC)","IBGE POF 2017-2018, microdados fixed-width (MORADOR); layout: Dicionarios_de_variaveis.xls; anualização V8000_DEFLA×V9011×FATOR (Memória de Cálculo IBGE); https://ftp.ibge.gov.br/Orcamentos_Familiares/Pesquisa_de_Orcamentos_Familiares_2017_2018/Microdados/"
