uf,ano,icms_bruto,deducao_fundeb_rreo,iss_df,dca_icms_bruta,dca_fecp_bruta,dca_outras_deducoes,desvio_rreo_dca_pct,formula,fonte
AC,2024,2159968117.18,1700903005.0,0.0,2159968117.18,0.0,0.0,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AC,2025,2220306998.18,1890838379.49,0.0,2220306998.18,0.0,0.0,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AL,2024,8488852336.33,3012748597.68,0.0,7905240380.21,593191468.91,9579512.790000001,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AL,2025,9008104970.86,3244850522.08,0.0,8393295012.36,634677859.0,19867900.5,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AM,2024,15698510024.65,3777717826.81,0.0,15630527022.24,77740611.31,9757608.9,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AM,2025,16924101052.28,4098383558.09,0.0,16904534360.06,62084156.09,42517463.87,1.1270014442247401e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AP,2024,1517410287.34,1552955953.05,0.0,1517451622.31,0.0,41334.97,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
AP,2025,1702927683.38,1614700621.91,0.0,1702929834.08,0.0,2150.7,1.4000511086198637e-14,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
BA,2024,39497020151.68,9767048149.8,0.0,38966149326.04,533487811.28,2616985.64,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
BA,2025,41998968646.68,10535359199.19,0.0,41451495168.11,551055735.64,3582257.07,0.0,"icms_bruto = rubrica RREO 'ICMSLiquidoExcetoTransferenciasEFUNDEB' (arrecadação bruta líquida de restituições, antes de FUNDEB/cota-parte, INCLUI FECP); triangulação: ≡ DCA[1.1.1.4.50.1.0+1.1.1.4.50.2.0, Brutas − Outras Deduções]","SICONFI RREO Anexo 03, período 6, coluna TOTAL (ÚLTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; cache local data/raw/siconfi_rreo/icms_uf_2024_2025.csv | SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet"
