uf,ano,iss_liquida,n_declarantes,n_universo,cobertura_pct,iss_imputado,formula,fonte
AC,2024,219385579.22000006,22,22,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AL,2024,933331168.2199998,100,102,98.04,5387223.476415582,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AM,2024,1677614601.4700005,62,62,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
AP,2024,198002959.2,15,16,93.75,1644827.7180908644,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
BA,2024,5178955936.01,412,417,98.8,19646637.54390525,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
CE,2024,2822364245.03,184,184,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
DF,2024,3472401821.22,1,1,100.0,0.0,"cod_conta='ISSLiquidoExcetoTransferenciasEFUNDEB', coluna='TOTAL (ÚLTIMOS 12 MESES)', anexo='RREO-Anexo 03' (RREO 6o bim.); LC 214 art. 350, III",RREO-DF
ES,2024,2734943408.7099996,78,78,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
GO,2024,3199699849.25,245,246,99.59,1012347.7104518799,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MA,2024,1772607406.81,217,217,100.0,0.0,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
MG,2024,10559890853.35,852,853,99.88,2227255.7669046144,"iss_liquida = SUM_mun(bruta - deducoes_outras) [declarantes]; iss_imputado = SUM_omissos(mediana_pc(uf, estrato) * populacao); estratos populacionais (convencao IBGE/Munic): <=5k, 5-10k, 10-20k, 20-50k, 50-100k, 100-500k, >500k","SICONFI DCA 'DCA-Anexo I-C', conta RO1.1.1.4.51.1.0 (ISSQN), colunas 'Receitas Brutas Realizadas' - 'Outras Deduções da Receita'; universo e populacao: https://apidatalake.tesouro.gov.br/ords/siconfi/tt/entes (esfera M); LC 214 art. 350, III e par.1, III"
