ano,pis_pasep,cofins,ipi,iof_total,ipi_fumo,ipi_bebidas,ipi_automoveis,razao_iof_seguros,iof_seguros,receita_ref_rs_mi,pct_pib,formula,fonte
2012,46217.035198,174469.951616,45927.424890,30772.158444,4077.164775,3146.915270,4125.783764,0.088234,2715.155625,269329.567330,5.593832,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2013,50182.009509,190504.805600,47107.977657,29417.077400,5096.892217,3435.590238,3504.423489,0.088234,2595.591184,290390.383949,5.446570,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2014,51955.198018,194549.008162,50711.446280,29769.784664,5654.020109,3343.508543,4558.829645,0.088234,2626.712014,299842.364474,5.188524,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2015,53781.259852,201672.545431,49266.434994,34692.696867,5682.471700,2547.994981,4049.682226,0.088234,3061.081049,307781.321326,5.133293,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2016,54348.276676,204351.282791,44951.308257,33675.525452,5716.591361,2634.496961,2884.621403,0.088234,2971.331781,306622.199505,4.890831,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2017,58476.402717,218857.630062,48474.355881,34543.198155,5117.575456,2841.108032,4280.970448,0.088234,3047.890155,328856.278815,4.993658,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2018,64534.946705,242313.872569,54605.881659,36339.701157,5141.033331,2510.475852,4317.935533,0.088234,3206.403093,364661.104026,5.206364,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2019,67726.890818,251286.328769,56782.347258,40889.776154,5406.388979,3043.631750,4437.958599,0.088234,3607.875149,379403.441994,5.134615,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2020,64935.907988,225806.140180,58289.208542,21628.989356,5962.298658,2748.615007,2633.107313,0.088234,1908.415759,350939.672469,4.611804,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2021,79784.022417,286499.276046,74940.359150,48640.134279,5593.360762,2382.386147,2190.545178,0.088234,4291.721506,445515.379119,4.943502,receita_ref = PIS/Pasep + Cofins + IPI + razão×IOF_total; pct_pib = 100×receita_ref/PIB(SIDRA 1846),"RFB, Arrecadação das receitas federais 1994 a 2025 (R$ mi correntes; aba do ano, coluna TOTAL), https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/dados-abertos/receitadata/arrecadacao/serie-historica/arrecadacao-das-receitas-federais-1994-a-2025.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
