ano,ipi,iof_total,cofins,pis_pasep,razao_iof_seguros,iof_seguros,receita_ref_rs_mi,pct_pib,formula,fonte
2012,44480.205970,31023.032420,175157.787441,46407.434287,0.088234,2737.291280,268782.718978,5.582474,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2013,44077.374235,29642.627472,202813.187445,52037.998227,0.088234,2615.492406,301544.052313,5.655769,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2014,50146.207356,29892.947839,198742.400167,52543.520067,0.088234,2637.579214,304069.706805,5.261675,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2015,48586.322454,34869.727500,202733.676230,53548.380772,0.088234,3076.701198,307945.080655,5.136024,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2016,42293.988478,33782.406857,204678.625783,53894.737932,0.088234,2980.762372,303848.114565,4.846583,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2017,48032.503076,34983.514963,235759.388507,62560.628576,0.088234,3086.741140,349439.261299,5.306209,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2018,55427.322996,36786.126448,251466.029934,66124.805913,0.088234,3245.793054,376263.951897,5.372021,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2019,52685.947495,41044.221310,238696.070894,64751.575401,0.088234,3621.502488,359755.096277,4.868706,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2020,56694.553645,22047.586264,221964.225632,62593.695585,0.088234,1945.350306,343197.825169,4.510066,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
2021,71286.107055,49128.422002,274580.947188,76089.027437,0.088234,4334.805164,426290.886844,4.730184,receita_ref_liq = PIS/Pasep + Cofins + IPI + razão×IOF (linhas 1.1.06/1.1.05/1.1.02/1.1.04 da Tabela 2.2 RTN); pct_pib = 100×receita_ref_liq/PIB(SIDRA 1846),"STN, Resultado do Tesouro Nacional — Série Histórica, Tabela 2.2 (anual, R$ mi correntes; conceito caixa — ingresso efetivo na Conta Única, nota 1/; líquida de restituições conforme o Dicionário de Conceitos do dataset: Receita Líquida III=I−II deduz restituições dentro de I), https://www.tesourotransparente.gov.br/ckan/dataset/ab56485b-9c40-4efb-8563-9ce3e1973c4b/resource/527ccdb1-3059-42f3-bf23-b5e3ab4c6dc6/download/seriehistoricamai26.xlsx; razão IOF-seguros: NT SERT/MF de 01/07/2024, p. 3 (IOF-Seguros = R$ 5,4 bi), https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf; PIB: IBGE, SCN Trimestral — SIDRA t/1846 v/585 c11255/90707 (PIB pm, valores correntes, R$ mi); PIB anual = soma dos 4 trimestres; https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/585/p/all/c11255/90707?formato=json"
