ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;PRODUÇÃO
1997;DEZ;REGIÃO SUL;PARANÁ;LGN;1104
1997;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;50970
1997;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;50206
1997;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;44709
1997;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;48812
1997;DEZ;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;856
1997;NOV;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;745
1997;OUT;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;1097
1997;SET;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;994
1997;AGO;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;999
1997;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;1074
1997;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;1091
1997;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;1023
1997;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;52300
1997;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;1023
1997;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;883
1997;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;987
1997;DEZ;REGIÃO NORDESTE;BAHIA;LGN;30501
1997;NOV;REGIÃO NORDESTE;BAHIA;LGN;30816
1997;OUT;REGIÃO NORDESTE;BAHIA;LGN;30731
1997;SET;REGIÃO NORDESTE;BAHIA;LGN;29882
1997;AGO;REGIÃO NORDESTE;BAHIA;LGN;28768
1997;JUL;REGIÃO NORDESTE;BAHIA;LGN;30775
1997;JUN;REGIÃO NORDESTE;BAHIA;LGN;30352
1997;MAI;REGIÃO NORDESTE;BAHIA;LGN;25512
1997;ABR;REGIÃO NORDESTE;BAHIA;LGN;29778
1997;MAR;REGIÃO NORDESTE;BAHIA;LGN;26406
1997;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;LGN;1160
1997;FEV;REGIÃO NORDESTE;BAHIA;LGN;25894
1997;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;61051
1997;SET;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;40746
1997;NOV;REGIÃO SUL;PARANÁ;LGN;1024
1997;OUT;REGIÃO SUL;PARANÁ;LGN;1838
1997;SET;REGIÃO SUL;PARANÁ;LGN;2225
1997;AGO;REGIÃO SUL;PARANÁ;LGN;1976
1997;JUL;REGIÃO SUL;PARANÁ;LGN;2122
1997;JUN;REGIÃO SUL;PARANÁ;LGN;1718
1997;MAI;REGIÃO SUL;PARANÁ;LGN;2286
1997;ABR;REGIÃO SUL;PARANÁ;LGN;1781
1997;MAR;REGIÃO SUL;PARANÁ;LGN;2228
1997;FEV;REGIÃO SUL;PARANÁ;LGN;2000
1997;JAN;REGIÃO SUL;PARANÁ;LGN;2142
1997;DEZ;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;59150
1997;NOV;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;SET;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;AGO;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;JUL;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;JUN;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;MAI;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;ABR;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;MAR;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;FEV;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;JAN;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;49985
1997;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;45855
1997;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;45252
1997;OUT;REGIÃO SUDESTE;SÃO PAULO;LGN;0
1997;JAN;REGIÃO NORDESTE;BAHIA;LGN;26650
1997;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;LGN;50020
1997;NOV;REGIÃO NORDESTE;SERGIPE;LGN;22027
1997;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;LGN;23030
1997;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;LGN;23240
1997;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;LGN;24172
1997;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;LGN;23321
1997;DEZ;REGIÃO NORDESTE;CEARÁ;LGN;1899
1997;NOV;REGIÃO NORDESTE;CEARÁ;LGN;2008
1997;OUT;REGIÃO NORDESTE;CEARÁ;LGN;2196
1997;SET;REGIÃO NORDESTE;CEARÁ;LGN;2177
1997;AGO;REGIÃO NORDESTE;CEARÁ;LGN;1869
1997;JUL;REGIÃO NORDESTE;CEARÁ;LGN;2260
1997;JUN;REGIÃO NORDESTE;CEARÁ;LGN;2304
1997;MAI;REGIÃO NORDESTE;CEARÁ;LGN;2312
1997;ABR;REGIÃO NORDESTE;CEARÁ;LGN;2164
1997;MAR;REGIÃO NORDESTE;CEARÁ;LGN;2345
1997;FEV;REGIÃO NORDESTE;CEARÁ;LGN;0
1997;JAN;REGIÃO NORDESTE;CEARÁ;LGN;0
1997;DEZ;REGIÃO NORTE;AMAZONAS;LGN;7682
1997;NOV;REGIÃO NORTE;AMAZONAS;LGN;3433
1997;OUT;REGIÃO NORTE;AMAZONAS;LGN;77
1997;SET;REGIÃO NORTE;AMAZONAS;LGN;3171
1997;AGO;REGIÃO NORTE;AMAZONAS;LGN;6770
1997;JUL;REGIÃO NORTE;AMAZONAS;LGN;8276
1997;JUN;REGIÃO NORTE;AMAZONAS;LGN;7792
1997;MAI;REGIÃO NORTE;AMAZONAS;LGN;7414
1997;ABR;REGIÃO NORTE;AMAZONAS;LGN;6950
1997;MAR;REGIÃO NORTE;AMAZONAS;LGN;7104
1997;DEZ;REGIÃO NORDESTE;SERGIPE;LGN;23230
1997;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;LGN;23017
1997;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;LGN;22040
1997;FEV;REGIÃO NORTE;AMAZONAS;LGN;8002
1997;JAN;REGIÃO NORTE;AMAZONAS;LGN;7908
1997;OUT;REGIÃO NORDESTE;SERGIPE;LGN;21890
1997;SET;REGIÃO NORDESTE;SERGIPE;LGN;22749
1997;AGO;REGIÃO NORDESTE;SERGIPE;LGN;24698
1997;JUL;REGIÃO NORDESTE;SERGIPE;LGN;23232
1997;JUN;REGIÃO NORDESTE;SERGIPE;LGN;22449
1997;MAI;REGIÃO NORDESTE;SERGIPE;LGN;24757
