uf,ano,icms_liquido_ex_fundeb_cotaparte_rs,deducao_fundeb_total_rs,iss_liquido_ex_fundeb_rs,fonte
RO,2024,7507448778.0,2252065559.09,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RO,2025,8125984783.1,2481637065.61,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AC,2024,2159968117.18,1700903005.0,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AC,2025,2220306998.18,1890838379.49,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AM,2024,15698510024.65,3777717826.81,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AM,2025,16924101052.28,4098383558.09,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RR,2024,2010397364.85,1394739605.1,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RR,2025,2142489273.26,1537368378.13,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PA,2024,24394691448.02,6207173909.4,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PA,2025,25079145957.84,6554769111.14,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AP,2024,1517410287.34,1552955953.05,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
AP,2025,1702927683.38,1614700621.91,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
TO,2024,5947178599.38,2407832756.14,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
TO,2025,6400909146.71,2604333045.95,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MA,2024,13870071546.37,4877191244.36,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MA,2025,15813244157.58,5409219825.14,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PI,2024,7713816236.26,2827470974.65,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PI,2025,8476783762.62,3081352352.17,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
CE,2024,20202084845.36,5935393999.86,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
CE,2025,21447585488.26,6438668858.96,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RN,2024,8459893757.36,2823204533.09,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RN,2025,9448358870.57,3175469290.58,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PB,2024,9713259973.35,3307782325.64,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PB,2025,10554097792.24,3590298516.51,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PE,2024,26156973043.44,6776270559.73,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PE,2025,27634962927.91,7252515306.9,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
