chave;citada_em;status
alcantara2026;01_introducao.md, 05_discussao.md;ok
arnold2025;01_introducao.md, 02_arquitetura.md;ok
birdgendron1998;02_arquitetura.md;ok
birdgendron2000;02_arquitetura.md;ok
birdsmart2014;02_arquitetura.md;ok
brasil2004decreto5059;90_anexos.md;ok
brasil2023ec132;00_capa.md, 01_introducao.md, 02_arquitetura.md, comparadores.csv;ok
brasil2025lc214;00_capa.md, 01_introducao.md, 02_arquitetura.md, 03_metodologia.md, 04_resultados.md, 05_discussao.md, 90_anexos.md, comparadores.csv, tables.py;ok
brasil2026lc227;00_capa.md, 01_introducao.md, 02_arquitetura.md, 03_metodologia.md, 04_resultados.md, 05_discussao.md, 90_anexos.md, tables.py;ok
brasil2026pldo2027;03_metodologia.md, 04_resultados.md, 05_discussao.md, 06_conclusao.md, 90_anexos.md, tables.py;ok
ccif2019;02_arquitetura.md, comparadores.csv;ok
cebreiro2025;02_arquitetura.md, 03_metodologia.md, 04_resultados.md, comparadores.csv;ok
cgibs2026res6;01_introducao.md, 03_metodologia.md, 04_resultados.md, 90_anexos.md;ok
cni2023;02_arquitetura.md, 03_metodologia.md, comparadores.csv;ok
cnm2024;02_arquitetura.md;ok
cnm2025;02_arquitetura.md;ok
comsefaz2025;02_arquitetura.md;ok
ec2025vatgap;03_metodologia.md;ok
gobetti2023;02_arquitetura.md, comparadores.csv;ok
hutton2017;03_metodologia.md;ok
ifi2024;02_arquitetura.md;ok
imbgo2023;02_arquitetura.md, 03_metodologia.md, comparadores.csv;ok
imf2025reverse;03_metodologia.md;ok
junqueira2015;02_arquitetura.md;ok
keensmith2000;02_arquitetura.md;ok
mclure2000;02_arquitetura.md;ok
musgrave1959;02_arquitetura.md;ok
oates2005;01_introducao.md, 02_arquitetura.md;ok
orairgobetti2019;02_arquitetura.md, 04_resultados.md, comparadores.csv;ok
raochakraborty2013;02_arquitetura.md;ok
sert2023;02_arquitetura.md, comparadores.csv;ok
sert2024;02_arquitetura.md, 03_metodologia.md, 05_discussao.md, 90_anexos.md, comparadores.csv, tables.py;ok
sert2024impacto;04_resultados.md, comparadores.csv;ok
siqueira2024;02_arquitetura.md, 04_resultados.md, comparadores.csv;ok
spa2025relatorio;05_discussao.md;ok
tcu2026res388;05_discussao.md;ok
tcu2026res389;05_discussao.md;ok
tcurfb2026;01_introducao.md, 02_arquitetura.md;ok
terminassian1997;02_arquitetura.md;ok
varsano1995;02_arquitetura.md;ok
weingast2009;01_introducao.md, 02_arquitetura.md;ok
